comparison_type,role,smat_player,smat_team,ipl_player,ipl_team,similarity_rank,similarity_score
batting,finisher,RK Singh,Uttar Pradesh,RK Singh,Kolkata Knight Riders,3,85.39
batting,finisher,Rajat Dey,Tripura,JP Duminy,Delhi Capitals,1,78.9
batting,finisher,Rajat Dey,Tripura,H Klaasen,Sunrisers Hyderabad,2,71.03
batting,finisher,Rajat Dey,Tripura,Tilak Varma,Mumbai Indians,3,71.01
batting,finisher,Ramandeep Singh,Punjab,JA Morkel,Chennai Super Kings,1,93.96
batting,finisher,Ramandeep Singh,Punjab,NLTC Perera,Sunrisers Hyderabad,2,81.8
batting,finisher,Ramandeep Singh,Punjab,RN ten Doeschate,Kolkata Knight Riders,3,80.47
batting,finisher,S Dube,Mumbai,Sachin Baby,Royal Challengers Bengaluru,1,80.8
batting,finisher,S Dube,Mumbai,AD Mathews,Pune Warriors,2,70.71
batting,finisher,S Dube,Mumbai,GD Phillips,Sunrisers Hyderabad,3,70.71
batting,finisher,Sanvir Singh,Punjab,TH David,Mumbai Indians,1,92.73
batting,finisher,Sanvir Singh,Punjab,S Arora,Sunrisers Hyderabad,2,77.49
batting,finisher,Sanvir Singh,Punjab,SO Hetmyer,Rajasthan Royals,3,76.83
batting,finisher,Shashank Singh,Chhattisgarh,PK Garg,Sunrisers Hyderabad,1,83.8
batting,finisher,Shashank Singh,Chhattisgarh,B Chipli,Sunrisers Hyderabad,2,77.68
batting,finisher,Shashank Singh,Chhattisgarh,SM Curran,Punjab Kings,3,77.27
batting,finisher,Shubham Pundir,Jammu & Kashmir,S Badrinath,Chennai Super Kings,1,87.81
batting,finisher,Shubham Pundir,Jammu & Kashmir,Y Venugopal Rao,Sunrisers Hyderabad,2,85.83
batting,finisher,Shubham Pundir,Jammu & Kashmir,DJ Hussey,Punjab Kings,3,84.14
batting,finisher,Subhransu Senapati,Odisha,KK Nair,Delhi Capitals,1,93.51
batting,finisher,Subhransu Senapati,Odisha,DPMD Jayawardene,Punjab Kings,2,88.31
batting,finisher,Subhransu Senapati,Odisha,BA Stokes,Rajasthan Royals,3,87.64
batting,finisher,Sumit Kumar,Haryana,AM Nayar,Mumbai Indians,1,90.1
