team,recommendation_type,target_role,domestic_player,domestic_team,quality_score,similarity_score,gap_score,reliability_score,recent_form_score,role_fit_score,ml_suitability_score,archetype_role_match_score,cluster_label,archetype_role,final_recommendation_score,closest_ipl_benchmark,closest_ipl_benchmark_team,current_role_count,target_role_count,role_deficit,role_rank,overall_team_rank
Chennai Super Kings,batting,finisher,R Tewatia,Haryana,71.95,83.33,50.0,100.0,47.83,21.05,72.29,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,58.51,Shashank Singh,Punjab Kings,1,2,1,9,119
Chennai Super Kings,batting,finisher,Vishvaraj Jadeja,Saurashtra,42.8,86.43,50.0,100.0,58.48,84.21,51.38,0.0,batting_tailender_cluster_1,tailender,58.43,SW Billings,Delhi Capitals,1,2,1,10,120
Chennai Super Kings,batting,finisher,VR Iyer,Madhya Pradesh,72.9,74.44,50.0,100.0,59.46,36.84,52.88,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,58.16,KK Nair,Delhi Capitals,1,2,1,11,122
Chennai Super Kings,batting,finisher,Subhransu Senapati,Odisha,66.48,93.51,50.0,100.0,50.71,0.0,73.55,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,57.25,KK Nair,Delhi Capitals,1,2,1,12,129
Chennai Super Kings,batting,finisher,S Dube,Mumbai,51.04,80.8,50.0,100.0,52.2,68.42,42.76,0.0,batting_tailender_cluster_1,tailender,56.17,Sachin Baby,Royal Challengers Bengaluru,1,2,1,13,135
Chennai Super Kings,batting,finisher,Sumit Kumar,Haryana,45.74,90.1,50.0,100.0,52.61,47.37,49.5,0.0,batting_tailender_cluster_1,tailender,55.11,AM Nayar,Mumbai Indians,1,2,1,14,140
Chennai Super Kings,batting,finisher,Chirag Gandhi,Gujarat,45.95,85.84,50.0,100.0,37.36,31.58,72.49,0.0,batting_tailender_cluster_1,tailender,53.71,AC Voges,Rajasthan Royals,1,2,1,15,147
Chennai Super Kings,batting,finisher,Shubham Pundir,Jammu & Kashmir,43.54,87.81,50.0,100.0,35.0,5.26,57.48,0.0,batting_tailender_cluster_1,tailender,49.15,S Badrinath,Chennai Super Kings,1,2,1,16,160
Chennai Super Kings,batting,finisher,BA Roy,Assam,65.3,37.58,50.0,42.1,64.57,57.89,59.73,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,48.63,TR Birt,Delhi Capitals,1,2,1,17,162
Chennai Super Kings,batting,finisher,M Shahrukh Khan,Tamil Nadu,57.42,53.43,50.0,100.0,47.69,10.53,49.85,0.0,batting_tailender_cluster_1,tailender,47.81,MP Stoinis,Lucknow Super Giants,1,2,1,18,165
Chennai Super Kings,batting,finisher,K L Shrijith,Karnataka,28.58,83.68,50.0,83.8,26.36,15.79,35.49,0.0,batting_tailender_cluster_1,tailender,41.91,AM Nayar,Mumbai Indians,1,2,1,19,173
Chennai Super Kings,batting,finisher,Fazil Rashid,Jammu & Kashmir,21.93,89.25,50.0,40.4,41.85,26.32,56.34,0.0,batting_tailender_cluster_2,tailender,41.76,TR Birt,Delhi Capitals,1,2,1,20,176
Chennai Super Kings,batting,middle_order,YBK Jaiswal,Mumbai,63.81,88.31,50.0,100.0,68.59,100.0,24.79,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,62.85,RA Tripathi,Sunrisers Hyderabad,1,2,1,1,97
