dataset,feature,count,missing_count,min,max,mean,median,std
ipl_2026_batting,runs,177,0,0.0,776.0,147.757,60.0,183.773
ipl_2026_batting,balls_faced,177,0,1.0,458.0,94.531,46.0,109.105
ipl_2026_batting,fours,177,0,0.0,75.0,13.181,5.0,17.451
ipl_2026_batting,sixes,177,0,0.0,72.0,8.056,3.0,11.232
ipl_2026_batting,dismissals,177,0,0.0,16.0,4.842,4.0,4.507
ipl_2026_batting,not_outs,177,0,0.0,8.0,1.576,1.0,1.598
ipl_2026_batting,high_score,177,0,0.0,152.0,37.797,25.0,34.971
ipl_2026_batting,ducks,177,0,0.0,3.0,0.475,0.0,0.7
ipl_2026_batting,pp_runs,177,0,0.0,521.0,47.593,0.0,94.534
ipl_2026_batting,pp_balls,177,0,0.0,244.0,29.932,0.0,54.813
ipl_2026_batting,mid_runs,177,0,0.0,418.0,65.181,21.0,89.76
ipl_2026_batting,mid_balls,177,0,0.0,265.0,43.955,18.0,56.212
ipl_2026_batting,death_runs,177,0,0.0,199.0,34.983,15.0,45.128
ipl_2026_batting,death_balls,177,0,0.0,115.0,20.644,12.0,23.682
ipl_2026_batting,dot_balls,177,0,0.0,143.0,32.124,17.0,34.643
ipl_2026_batting,strike_rate,177,0,0.0,350.0,128.544,136.96,55.561
ipl_2026_batting,average,147,30,0.0,66.5,23.898,22.0,16.265
ipl_2026_batting,pp_strike_rate,84,93,0.0,400.0,133.809,137.69,64.537
ipl_2026_batting,mid_strike_rate,132,45,0.0,400.0,133.719,132.405,57.181
ipl_2026_batting,death_strike_rate,151,26,0.0,350.0,139.963,147.62,72.255
ipl_2026_batting,sample_reliability_score,177,0,0.067,1.0,0.545,0.525,0.377
ipl_2026_batting,balls_faced_per_match,177,0,1.0,28.6,10.789,9.5,7.192
ipl_2026_batting,boundary_rate,177,0,0.0,0.75,0.172,0.185,0.116
ipl_2026_batting,six_rate,177,0,0.0,0.25,0.06,0.058,0.058
ipl_2026_batting,four_rate,177,0,0.0,0.5,0.111,0.116,0.088
ipl_2026_batting,dot_ball_rate,177,0,0.0,1.0,0.419,0.363,0.198
ipl_2026_batting,season_start_year,177,0,2026.0,2026.0,2026.0,2026.0,0.0
ipl_2026_bowling,matches,127,0,1.0,17.0,6.74,6.0,4.781
ipl_2026_bowling,innings,127,0,1.0,17.0,6.756,6.0,4.805
ipl_2026_bowling,wickets,127,0,0.0,29.0,6.906,5.0,6.947
ipl_2026_bowling,balls_bowled,127,0,1.0,388.0,131.252,101.0,108.003
ipl_2026_bowling,runs_conceded,127,0,1.0,625.0,212.291,181.0,163.918
ipl_2026_bowling,wides,127,0,0.0,25.0,5.866,4.0,5.561
ipl_2026_bowling,noballs,127,0,0.0,7.0,0.496,0.0,1.083
ipl_2026_bowling,dot_balls,127,0,0.0,172.0,44.772,36.0,41.788
ipl_2026_bowling,maiden_overs,127,0,0.0,3.0,0.134,0.0,0.443
ipl_2026_bowling,pp_runs,127,0,0.0,445.0,68.228,28.0,84.538
ipl_2026_bowling,pp_balls,127,0,0.0,282.0,41.591,18.0,55.988
ipl_2026_bowling,mid_runs,127,0,0.0,392.0,93.441,65.0,91.346
ipl_2026_bowling,mid_balls,127,0,0.0,277.0,61.071,44.0,63.696
ipl_2026_bowling,death_runs,127,0,0.0,235.0,50.622,33.0,54.467
ipl_2026_bowling,death_balls,127,0,0.0,144.0,28.591,17.0,31.95
ipl_2026_bowling,overs,127,0,0.1,64.4,21.793,16.5,17.975
