player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_economy,mid_economy,death_economy,pp_wicket_contribution,mid_wicket_contribution,death_wicket_contribution,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,team
Sams Alam,1,3,52,111,1,0,12.81,111.0,52.0,0.333,0.58,0,0.0,0.25,0.333,0.0,10.0,25.5,17.0,0.692,0.077,0.231,powerplay,powerplay_bowler,,0.33,Arunachal Pradesh
Sandeep Sharma,24,25,540,656,10,0,7.29,27.33,22.5,0.96,0.98,4,0.16,0.402,0.4,0.0,6.45,5.43,8.75,0.522,0.078,0.4,middle,powerplay_bowler,1.07,0.8,Punjab
Sankar Paul,9,12,192,219,7,2,6.84,24.33,21.33,0.75,0.97,2,0.167,0.411,0.583,0.167,8.0,6.27,8.2,0.156,0.688,0.156,middle,middle_overs_bowler,0.6,0.86,Tripura
Santha Moorthy,6,3,60,85,2,0,8.5,14.17,10.0,2.0,2.65,1,0.333,0.4,0.667,0.0,9.2,6.25,14.0,0.5,0.4,0.1,middle,powerplay_bowler,5.0,0.5,Puducherry
Sanvir Singh,4,6,78,128,5,0,9.85,32.0,19.5,0.667,0.82,1,0.167,0.231,0.833,0.0,10.0,9.09,18.0,0.077,0.846,0.077,middle,middle_overs_bowler,0.0,1.0,Punjab
Saransh Jain,7,9,174,210,2,1,7.24,30.0,24.86,0.778,0.97,1,0.111,0.356,0.222,0.111,10.0,7.0,2.0,0.138,0.828,0.034,death,middle_overs_bowler,1.33,0.5,Madhya Pradesh
Sarbeswar Mohanty,1,4,54,68,6,0,7.56,68.0,54.0,0.25,0.5,0,0.0,0.389,1.5,0.0,,8.71,3.5,0.0,0.778,0.222,death,middle_overs_bowler,1.0,0.0,Odisha
Sarfaraz Ashraf,5,6,96,138,5,0,8.62,27.6,19.2,0.833,1.17,1,0.167,0.281,0.833,0.0,5.33,9.1,10.33,0.188,0.625,0.188,powerplay,middle_overs_bowler,,0.83,Bihar
Saruk Hossain,1,3,42,41,3,0,5.86,41.0,42.0,0.333,0.58,0,0.0,0.381,1.0,0.0,1.0,6.4,8.0,0.143,0.714,0.143,powerplay,middle_overs_bowler,0.33,,Tripura
Satish Jangir,3,4,60,70,0,0,7.0,23.33,20.0,0.75,0.96,1,0.25,0.35,0.0,0.0,,5.33,22.0,0.0,0.9,0.1,middle,middle_overs_bowler,,0.75,Puducherry
Satyajeet Bachhav,41,34,786,879,12,1,6.71,21.44,19.17,1.206,1.04,13,0.382,0.361,0.353,0.029,6.73,6.51,7.65,0.229,0.641,0.13,middle,middle_overs_bowler,1.38,0.92,Maharashtra
Saurabh Das,3,12,177,227,2,0,7.69,75.67,59.0,0.25,0.45,0,0.0,0.305,0.167,0.0,7.3,7.42,9.75,0.339,0.525,0.136,powerplay,middle_overs_bowler,0.33,0.22,Tripura
