player,team,matches,innings,wickets,balls_bowled,runs_conceded,wides,noballs,dot_balls,maiden_overs,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,overs,economy,avg,strike_rate,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,sample_reliability_score,bowling_phase,two_plus_hauls,four_plus_hauls,five_wicket_hauls,season_start_year
Sunil Narine,Kolkata Knight Riders,13,14,17,309,340,0,0,139,0,97,75,194,180,49,54,51.3,6.6,20.0,18.18,7.76,6.47,5.44,0.243,0.583,0.175,1.0,death_economy,1,1,1,2026
Sushant Mishra,Rajasthan Royals,2,2,2,38,65,7,0,16,1,13,6,40,24,12,8,6.2,10.26,32.5,19.0,13.0,10.0,9.0,0.158,0.632,0.211,0.283,death_economy,1,0,0,2026
Suyash Sharma,Royal Challengers Bengaluru,12,12,9,245,376,8,0,73,2,0,0,357,222,19,23,40.5,9.21,41.78,27.22,,9.65,4.96,0.0,0.906,0.094,1.0,death_economy,1,1,1,2026
Tim David,Royal Challengers Bengaluru,1,1,0,6,18,0,0,1,0,0,0,18,6,0,0,1.0,18.0,,,,18.0,,0.0,1.0,0.0,0.088,mid_economy,0,0,0,2026
Travis Head,Sunrisers Hyderabad,1,1,1,6,7,0,0,2,0,0,0,0,0,7,6,1.0,7.0,7.0,6.0,,,7.0,0.0,0.0,1.0,0.088,death_economy,0,0,0,2026
Trent Boult,Mumbai Indians,5,5,2,97,187,9,0,25,0,108,48,38,24,41,25,16.1,11.57,93.5,48.5,13.5,9.5,9.84,0.495,0.247,0.258,0.717,mid_economy,1,0,0,2026
Tripurana Vijay,Delhi Capitals,1,1,0,12,29,0,0,2,0,18,6,11,6,0,0,2.0,14.5,,,18.0,11.0,,0.5,0.5,0.0,0.112,mid_economy,0,0,0,2026
Tushar Deshpande,Rajasthan Royals,7,7,4,138,273,11,0,40,0,81,48,95,42,97,48,23.0,11.87,68.25,34.5,10.12,13.57,12.12,0.348,0.304,0.348,0.938,pp_economy,1,1,0,2026
Vaibhav Arora,Kolkata Knight Riders,10,10,11,228,389,12,0,75,0,194,114,45,24,150,90,38.0,10.24,35.36,20.73,10.21,11.25,10.0,0.5,0.105,0.395,1.0,death_economy,1,1,1,2026
Varun Chakaravarthy,Kolkata Knight Riders,11,11,12,246,359,8,0,80,0,40,12,266,210,53,24,41.0,8.76,29.92,20.5,20.0,7.6,13.25,0.049,0.854,0.098,1.0,mid_economy,1,1,1,2026
Vijaykumar Vyshak,Punjab Kings,9,9,10,186,330,7,1,51,0,81,36,170,108,79,42,31.0,10.65,33.0,18.6,13.5,9.44,11.29,0.194,0.581,0.226,1.0,mid_economy,1,1,1,2026
Vipraj Nigam,Delhi Capitals,5,5,2,54,113,2,1,14,0,7,6,106,48,0,0,9.0,12.56,56.5,27.0,7.0,13.25,,0.111,0.889,0.0,0.538,pp_economy,1,0,0,2026
Washington Sundar,Gujarat Titans,5,5,1,55,84,0,0,14,0,0,0,63,48,21,7,9.1,9.16,84.0,55.0,,7.88,18.0,0.0,0.873,0.127,0.542,mid_economy,0,0,0,2026
Will Jacks,Mumbai Indians,6,6,2,53,94,5,0,20,0,51,24,36,24,7,5,8.5,10.64,47.0,26.5,12.75,9.0,8.4,0.453,0.453,0.094,0.596,death_economy,1,0,0,2026
Xavier Bartlett,Punjab Kings,9,9,5,201,384,7,1,56,0,177,88,81,42,126,71,33.3,11.46,76.8,40.2,12.07,11.57,10.65,0.438,0.209,0.353,1.0,death_economy,1,1,1,2026
Yash Raj Punja,Rajasthan Royals,8,8,9,180,280,6,0,48,0,13,6,248,156,19,18,30.0,9.33,31.11,20.0,13.0,9.54,6.33,0.033,0.867,0.1,1.0,death_economy,1,1,1,2026
