player,team,matches,innings,runs,balls_faced,fours,sixes,dismissals,not_outs,high_score,ducks,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,strike_rate,average,pp_strike_rate,mid_strike_rate,death_strike_rate,batting_phase,sample_reliability_score,balls_faced_per_match,boundary_rate,six_rate,four_rate,dot_ball_rate,season_start_year
Mayank Yadav,Lucknow Super Giants,1,1,5,5,1,0,1,0,5,0,0,0,0,0,5,5,3,100.0,5.0,,,100.0,death_strike_rate,0.083,5.0,0.2,0.0,0.2,0.6,2026
Mitchell Marsh,Lucknow Super Giants,13,13,563,345,51,36,12,1,111,0,321,188,210,135,32,22,124,163.19,46.92,170.74,155.56,145.45,pp_strike_rate,1.0,26.54,0.252,0.104,0.148,0.359,2026
Mitchell Santner,Mumbai Indians,2,2,26,19,3,0,0,2,18,0,0,0,0,0,26,19,3,136.84,,,,136.84,death_strike_rate,0.204,9.5,0.158,0.0,0.158,0.158,2026
Mitchell Starc,Delhi Capitals,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,2,2,0.0,0.0,,,0.0,death_strike_rate,0.071,2.0,0.0,0.0,0.0,1.0,2026
Mohammed Shami,Lucknow Super Giants,7,7,31,22,2,3,5,2,12,2,0,0,1,1,30,21,12,140.91,6.2,,100.0,142.86,death_strike_rate,0.529,3.14,0.227,0.136,0.091,0.545,2026
Mohammed Siraj,Gujarat Titans,2,2,5,16,1,0,2,0,5,1,0,0,5,10,0,6,14,31.25,2.5,,50.0,0.0,mid_strike_rate,0.192,8.0,0.062,0.0,0.062,0.875,2026
Mohsin Khan,Lucknow Super Giants,2,2,0,4,0,0,2,0,0,2,0,0,0,0,0,4,4,0.0,0.0,,,0.0,death_strike_rate,0.142,2.0,0.0,0.0,0.0,1.0,2026
Mukesh Choudhary,Chennai Super Kings,1,1,2,2,0,0,0,1,2,0,0,0,2,2,0,0,1,100.0,,,100.0,,mid_strike_rate,0.071,2.0,0.0,0.0,0.0,0.5,2026
Mukul Choudhary,Lucknow Super Giants,10,10,170,120,11,12,6,4,54,0,0,0,55,43,115,77,48,141.67,28.33,,127.91,149.35,death_strike_rate,1.0,12.0,0.192,0.1,0.092,0.4,2026
Naman Dhir,Mumbai Indians,14,14,318,216,31,13,12,2,57,2,92,66,177,119,49,31,68,147.22,26.5,139.39,148.74,158.06,death_strike_rate,1.0,15.43,0.204,0.06,0.144,0.315,2026
Nandre Burger,Rajasthan Royals,3,3,14,9,0,1,1,2,10,0,0,0,0,0,14,9,2,155.56,14.0,,,155.56,death_strike_rate,0.225,3.0,0.111,0.111,0.0,0.222,2026
Natarajan,Delhi Capitals,1,1,1,2,0,0,0,1,1,0,0,0,0,0,1,2,1,50.0,,,,50.0,death_strike_rate,0.071,2.0,0.0,0.0,0.0,0.5,2026
Nehal Wadhera,Punjab Kings,6,6,65,57,4,4,6,0,25,1,0,4,44,39,21,14,25,114.04,10.83,0.0,112.82,150.0,death_strike_rate,0.612,9.5,0.14,0.07,0.07,0.439,2026
Nicholas Pooran,Lucknow Super Giants,14,15,234,184,11,19,14,1,63,1,49,38,144,131,41,15,86,127.17,16.71,128.95,109.92,273.33,death_strike_rate,1.0,13.14,0.163,0.103,0.06,0.467,2026
Nishant Sindhu,Gujarat Titans,5,5,63,50,7,2,5,0,22,0,29,23,34,27,0,0,22,126.0,12.6,126.09,125.93,,pp_strike_rate,0.521,10.0,0.18,0.04,0.14,0.44,2026
Nitish Rana,Delhi Capitals,9,9,225,149,27,10,9,0,91,1,71,67,135,74,19,8,60,151.01,25.0,105.97,182.43,237.5,death_strike_rate,1.0,16.56,0.248,0.067,0.181,0.403,2026
Nitish Reddy,Sunrisers Hyderabad,13,13,302,176,19,21,10,3,56,0,4,10,162,103,136,63,48,171.59,30.2,40.0,157.28,215.87,death_strike_rate,1.0,13.54,0.227,0.119,0.108,0.273,2026
Noor Ahmad,Chennai Super Kings,4,4,11,23,0,1,3,1,8,0,0,0,2,14,9,9,17,47.83,3.67,,14.29,100.0,death_strike_rate,0.346,5.75,0.043,0.043,0.0,0.739,2026
Pat Cummins,Sunrisers Hyderabad,3,3,30,19,1,3,3,0,19,0,0,0,20,11,10,8,8,157.89,10.0,,181.82,125.0,mid_strike_rate,0.267,6.33,0.211,0.158,0.053,0.421,2026
Pathum Nissanka,Delhi Capitals,10,10,277,175,33,12,9,1,62,0,234,139,43,36,0,0,65,158.29,30.78,168.35,119.44,,pp_strike_rate,1.0,17.5,0.257,0.069,0.189,0.371,2026
Phil Salt,Royal Challengers Bengaluru,6,6,202,120,16,11,6,0,78,1,118,75,84,45,0,0,38,168.33,33.67,157.33,186.67,,mid_strike_rate,0.875,20.0,0.225,0.092,0.133,0.317,2026
Prabhsimran Singh,Punjab Kings,13,13,510,302,55,23,12,1,80,1,280,168,229,133,1,1,91,168.87,42.5,166.67,172.18,100.0,mid_strike_rate,1.0,23.23,0.258,0.076,0.182,0.301,2026
Praful Hinge,Sunrisers Hyderabad,2,2,3,9,0,0,1,1,3,0,0,0,3,8,0,1,7,33.33,3.0,,37.5,0.0,mid_strike_rate,0.162,4.5,0.0,0.0,0.0,0.778,2026
Prashant Veer,Chennai Super Kings,5,5,91,67,10,3,2,3,43,0,0,0,43,28,48,39,24,135.82,45.5,,153.57,123.08,mid_strike_rate,0.592,13.4,0.194,0.045,0.149,0.358,2026
Prasidh Krishna,Gujarat Titans,1,1,6,7,1,0,0,1,6,0,0,0,0,0,6,7,4,85.71,,,,85.71,death_strike_rate,0.092,7.0,0.143,0.0,0.143,0.571,2026
Prince Yadav,Lucknow Super Giants,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,,,,0.0,death_strike_rate,0.067,1.0,0.0,0.0,0.0,1.0,2026
Priyansh Arya,Punjab Kings,13,13,364,172,27,32,13,0,93,2,294,137,70,35,0,0,57,211.63,28.0,214.6,200.0,,pp_strike_rate,1.0,13.23,0.343,0.186,0.157,0.331,2026
Quinton de Kock,Mumbai Indians,3,3,132,81,9,9,2,1,112,0,35,32,67,36,30,13,26,162.96,66.0,109.38,186.11,230.77,death_strike_rate,0.525,27.0,0.222,0.111,0.111,0.321,2026
Rahul,Delhi Capitals,14,14,593,339,56,31,13,1,152,1,241,159,284,150,68,30,88,174.93,45.62,151.57,189.33,226.67,death_strike_rate,1.0,24.21,0.257,0.091,0.165,0.26,2026
