player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role,cluster_id,cluster_label,archetype_role
NL McCullum,Pune Warriors,2011.0,45.91,46.46,46.18,False,False,pure_batter,26.0,2.0,22.0,13.0,118.18,tailender,0.0,2.0,30.0,0.0,6.8,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
NLTC Perera,Sunrisers Hyderabad,2016.0,58.05,75.17,66.61,False,True,bowling_allrounder,422.0,30.0,307.0,14.07,137.46,finisher,31.0,36.0,698.0,0.861,8.73,death_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
NM Coulter-Nile,Delhi Capitals,2022.0,41.65,92.42,67.04,False,False,pure_bowler,82.0,16.0,72.0,5.12,113.89,tailender,48.0,38.0,857.0,1.263,7.7,powerplay_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
NS Naik,Punjab Kings,2020.0,24.41,0.0,12.2,False,False,pure_batter,31.0,4.0,50.0,7.75,62.0,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
NT Ellis,Punjab Kings,2023.0,27.93,83.86,55.9,False,False,pure_bowler,19.0,5.0,25.0,3.8,76.0,tailender,19.0,17.0,378.0,1.118,8.67,death_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
NV Ojha,Sunrisers Hyderabad,2018.0,50.72,0.0,25.36,False,False,pure_batter,1554.0,94.0,1313.0,16.53,118.35,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
Naman Dhir,Mumbai Indians,2026.0,73.95,41.79,57.87,False,False,pure_batter,568.0,27.0,338.0,21.04,168.05,lower_order_hitter,0.0,5.0,52.0,0.0,8.77,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
Navdeep Saini,Royal Challengers Bengaluru,2022.0,32.86,72.43,52.64,False,False,pure_bowler,33.0,7.0,37.0,4.71,89.19,tailender,23.0,32.0,664.0,0.719,8.83,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Naveen-ul-Haq,Lucknow Super Giants,2024.0,26.78,96.87,61.82,False,False,pure_bowler,18.0,4.0,25.0,4.5,72.0,tailender,25.0,17.0,387.0,1.471,9.16,death_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Nithish Kumar Reddy,Sunrisers Hyderabad,2026.0,66.83,60.95,63.89,True,True,batting_allrounder,678.0,30.0,485.0,22.6,139.79,finisher,11.0,21.0,265.0,0.524,10.91,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
Noor Ahmad,Chennai Super Kings,2026.0,20.56,88.16,54.36,False,False,pure_bowler,30.0,14.0,53.0,2.14,56.6,tailender,55.0,45.0,966.0,1.222,8.2,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
O Thomas,Rajasthan Royals,2019.0,0.0,89.76,44.88,False,False,pure_bowler,,,,,,,5.0,4.0,60.0,1.25,7.9,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
OA Shah,Rajasthan Royals,2013.0,61.77,0.0,30.88,False,False,pure_batter,506.0,22.0,389.0,23.0,130.08,finisher,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
OC McCoy,Rajasthan Royals,2022.0,58.8,92.17,75.48,False,False,pure_bowler,8.0,1.0,5.0,8.0,160.0,tailender,11.0,8.0,161.0,1.375,9.32,death_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
