player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,team,typical_position,avg_position,position_role,batting_role
Anuj Rawat,318,21,267,26,14,16,15.14,66,0,0.238,4,0.19,16.99,2,1,0.095,0.048,119.1,0.15,0.052,0.097,0.591,0.427,0.261,0.292,0.447,94.32,94.9,175.31,death,17.78,13.17,Royal Challengers Bangalore,2,4.476190476190476,opener,anchor_opener
Anureet Singh,36,8,47,2,1,4,4.5,15,0,0.5,2,0.25,5.81,0,0,0.0,0.0,76.6,0.064,0.021,0.043,0.389,0.468,0.0,0.111,0.889,,44.44,84.21,death,,4.5,Kings XI Punjab,9,9.5,tailender,tailender
Arshad Khan,119,10,84,5,9,5,11.9,58,0,0.5,1,0.1,18.2,1,1,0.1,0.1,141.67,0.167,0.107,0.06,0.622,0.393,0.0,0.328,0.672,,130.0,148.15,death,0.5,14.75,Gujarat Titans,9,7.818181818181818,tailender,tailender
Arshdeep Singh,31,13,46,4,0,6,2.38,10,0,0.538,3,0.231,3.36,0,0,0.0,0.0,67.39,0.087,0.0,0.087,0.516,0.674,0.0,0.129,0.871,,133.33,62.79,mid,1.0,2.5,Punjab Kings,11,10.785714285714286,tailender,tailender
Ashutosh Sharma,412,19,250,25,30,15,21.68,66,1,0.211,0,0.0,19.48,7,2,0.368,0.105,164.8,0.22,0.12,0.1,0.68,0.32,0.0,0.34,0.66,,134.62,186.3,death,28.75,19.8,Delhi Capitals,7,7.2631578947368425,lower_order,lower_order_hitter
Atharva Taide,260,10,177,30,8,10,26.0,66,0,0.0,1,0.1,22.41,3,2,0.3,0.2,146.89,0.215,0.045,0.169,0.646,0.356,0.604,0.396,0.0,152.43,139.19,,pp,13.75,34.17,Punjab Kings,1,2.0,opener,aggressive_opener
Avesh Khan,68,16,43,7,4,4,4.25,19,0,0.75,1,0.062,5.11,0,0,0.0,0.0,158.14,0.256,0.093,0.163,0.765,0.442,0.0,0.176,0.824,,300.0,143.59,mid,1.25,5.25,Lucknow Super Giants,10,9.823529411764707,tailender,lower_order_hitter
Azhar Mahmood,388,21,303,39,13,19,18.48,80,0,0.095,2,0.095,20.58,5,2,0.238,0.095,128.05,0.172,0.043,0.129,0.603,0.383,0.057,0.626,0.317,91.67,129.26,135.16,death,21.27,15.4,Kings XI Punjab,3,5.333333333333333,top_order,middle_order
Azmatullah Omarzai,99,9,74,8,5,8,11.0,21,1,0.111,0,0.0,8.02,0,0,0.0,0.0,133.78,0.176,0.068,0.108,0.626,0.365,0.0,0.707,0.293,,125.0,161.11,death,16.75,6.4,Punjab Kings,4,6.111111111111111,top_order,finisher
B Akhil,76,11,55,5,5,6,6.91,27,0,0.455,2,0.182,7.75,0,0,0.0,0.0,138.18,0.182,0.091,0.091,0.658,0.436,0.0,0.355,0.645,,128.57,144.12,death,9.0,5.17,Royal Challengers Bangalore,7,7.363636363636363,lower_order,tailender
B Chipli,280,21,251,28,7,15,13.33,61,1,0.286,0,0.0,15.22,2,1,0.095,0.048,111.55,0.139,0.028,0.112,0.55,0.418,0.196,0.446,0.357,72.37,105.04,178.57,death,15.83,12.33,Deccan Chargers,3,4.333333333333333,top_order,finisher
B Kumar,329,72,358,32,3,38,4.57,27,0,0.472,6,0.083,5.4,0,0,0.0,0.0,91.9,0.098,0.008,0.089,0.444,0.461,0.0,0.103,0.897,,70.83,95.16,death,1.8,5.02,Sunrisers Hyderabad,9,9.013333333333334,tailender,tailender
