player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
MG Johnson,8.2,8.0,6,10,8,lower_order
MJ Clarke,1.8333333333333333,1.5,1,3,1,opener
MJ Guptill,1.3846153846153846,1.0,1,2,1,opener
MJ Henry,10.5,10.5,10,11,10,tailender
MJ Lumb,1.0,1.0,1,1,1,opener
MJ McClenaghan,8.583333333333334,9.0,4,10,9,tailender
MJ Owen,3.0,3.0,3,3,3,top_order
MJ Santner,7.333333333333333,8.0,3,9,8,lower_order
MJ Suthar,9.0,9.0,9,9,9,tailender
MK Lomror,5.4,5.0,3,8,5,middle_order
MK Pandey,3.4814814814814814,3.0,1,8,3,top_order
MK Tiwary,4.635294117647059,4.0,1,7,4,top_order
ML Hayden,1.5,1.5,1,2,1,opener
MM Ali,4.1525423728813555,4.0,1,8,3,top_order
MM Patel,10.466666666666667,11.0,9,11,11,tailender
MM Sharma,9.393939393939394,9.0,8,11,9,tailender
MN Samuels,4.714285714285714,5.0,3,7,5,middle_order
MN van Wyk,4.0,4.0,2,5,4,top_order
MP Breetzke,1.0,1.0,1,1,1,opener
MP Stoinis,4.894230769230769,5.0,1,8,5,middle_order
MP Yadav,9.0,9.0,9,9,9,tailender
MR Marsh,3.56140350877193,3.0,1,10,2,opener
MS Bhandage,8.0,8.0,8,8,8,lower_order
MS Bisla,2.2051282051282053,2.0,1,7,2,opener
MS Dhoni,5.305785123966942,5.0,3,9,5,middle_order
MS Gony,7.764705882352941,8.0,6,9,8,lower_order
MS Wade,2.5,3.0,1,5,3,top_order
MV Boucher,5.75,6.0,1,7,6,middle_order
MW Short,3.0,3.0,1,4,3,top_order
Mandeep Singh,3.6020408163265305,4.0,1,7,2,opener
Mashrafe Mortaza,6.0,6.0,6,6,6,middle_order
Mayank Dagar,9.0,9.0,9,9,9,tailender
Misbah-ul-Haq,4.125,4.0,3,6,3,top_order
Mohammad Ashraful,4.0,4.0,4,4,4,top_order
Mohammad Asif,10.0,10.0,10,10,10,tailender
Mohammad Hafeez,3.875,5.0,1,6,1,opener
Mohammad Nabi,6.315789473684211,7.0,4,8,7,lower_order
Mohammed Shami,9.428571428571429,9.0,8,11,9,tailender
Mohammed Siraj,10.11111111111111,10.0,9,11,10,tailender
Mohit Rathee,11.0,11.0,11,11,11,tailender
Mohsin Khan,9.857142857142858,9.0,9,11,9,tailender
Mujeeb Ur Rahman,9.571428571428571,10.0,7,11,11,tailender
Mukesh Choudhary,11.0,11.0,11,11,11,tailender
Mukesh Kumar,10.6,11.0,10,11,11,tailender
Musheer Khan,8.0,8.0,8,8,8,lower_order
Mustafizur Rahman,11.0,11.0,11,11,11,tailender
N Burger,11.0,11.0,11,11,11,tailender
N Jagadeesan,2.3,1.5,1,4,1,opener
N Pooran,4.484210526315789,5.0,3,7,5,middle_order
N Rana,3.5126050420168067,4.0,1,6,3,top_order
N Saini,3.0,3.0,1,8,3,top_order
N Wadhera,5.111111111111111,5.0,1,7,5,middle_order
ND Doshi,11.0,11.0,11,11,11,tailender
NJ Maddinson,1.0,1.0,1,1,1,opener
NJ Rimmington,10.0,10.0,10,10,10,tailender
NK Patel,4.166666666666667,3.5,1,8,1,opener
NL McCullum,7.0,7.0,7,7,7,lower_order
NLTC Perera,6.033333333333333,6.0,4,8,6,middle_order
NM Coulter-Nile,8.176470588235293,8.0,7,9,8,lower_order
NS Naik,5.25,6.0,2,7,6,middle_order
NT Ellis,8.8,8.0,8,10,8,lower_order
NV Ojha,4.26595744680851,4.0,1,8,3,top_order
Naman Dhir,5.407407407407407,6.0,3,8,7,lower_order
Navdeep Saini,8.571428571428571,9.0,8,9,9,tailender
Naveen-ul-Haq,10.333333333333334,10.0,10,11,10,tailender
Nithish Kumar Reddy,4.966666666666667,5.0,4,7,4,top_order
Noor Ahmad,9.8125,10.0,9,11,10,tailender
OA Shah,4.681818181818182,5.0,3,7,5,middle_order
OC McCoy,9.0,9.0,9,9,9,tailender
OF Smith,7.0,7.0,6,8,7,lower_order
P Awana,10.571428571428571,11.0,10,11,11,tailender
P Chopra,5.0,5.0,5,5,5,middle_order
P Dogra,6.416666666666667,6.5,5,7,7,lower_order
P Dubey,8.5,8.5,8,9,8,lower_order
P Kumar,8.542372881355933,9.0,1,11,9,tailender
P Negi,6.6571428571428575,7.0,4,9,7,lower_order
P Nissanka,2.0,2.0,2,2,2,opener
P Parameswaran,11.0,11.0,11,11,11,tailender
P Ray Barman,8.0,8.0,8,8,8,lower_order
