player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,cluster_id,cluster_label,archetype_role,archetype_role_match_score
AM Reddy,29,3,31,4,0,3,9.67,16,1,0.0,0,0.0,7.77,0,0,0.0,0.0,93.55,0.129,0.0,0.129,0.552,0.516,29,0,0,31,0,0,1.0,0.0,0.0,93.55,,,powerplay,8.5,12.0,10.33,0.317,Andhra,2022,1.0,1.0,1,1,1,opener,anchor_opener,True,2,batting_tailender_cluster_2,tailender,0.0
AN Ahmed,85,14,81,5,3,12,6.07,26,0,0.143,1,0.071,7.11,0,0,0.0,0.0,104.94,0.099,0.037,0.062,0.447,0.395,1,34,50,3,26,52,0.012,0.4,0.588,33.33,130.77,96.15,middle,,6.07,5.79,0.838,Assam,2021,8.214285714285714,8.5,7,9,9,tailender,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
AN Ghosh,81,5,89,6,1,5,16.2,26,0,0.0,1,0.2,9.78,0,0,0.0,0.0,91.01,0.079,0.011,0.067,0.37,0.393,15,49,17,17,55,17,0.185,0.605,0.21,88.24,89.09,100.0,death,,16.2,17.8,0.683,Railways,2017,4.8,4.0,3,7,4,top_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
AN Longchar,46,5,87,5,1,5,9.2,23,0,0.0,1,0.2,9.58,0,0,0.0,0.0,52.87,0.069,0.011,0.057,0.565,0.736,40,6,0,64,23,0,0.87,0.13,0.0,62.5,26.09,,powerplay,23.0,5.75,17.4,0.675,Nagaland,2019,1.2,1.0,1,2,1,opener,anchor_opener,True,2,batting_tailender_cluster_2,tailender,0.0
AP Majumdar,144,7,111,16,1,5,20.57,48,0,0.286,1,0.143,18.4,3,0,0.429,0.0,129.73,0.153,0.009,0.144,0.486,0.261,35,68,41,24,59,28,0.243,0.472,0.285,145.83,115.25,146.43,death,17.0,23.25,15.86,0.9,Bengal,2020,4.714285714285714,5.0,3,7,3,top_order,middle_order,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
AP Sharma,5,3,9,0,0,2,1.67,4,0,0.333,1,0.333,2.08,0,0,0.0,0.0,55.56,0.0,0.0,0.0,0.0,0.444,0,0,5,0,0,9,0.0,0.0,1.0,,,55.56,death,0.0,2.5,3.0,0.225,Services,2018,7.0,7.0,7,7,7,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
AP Tare,1009,42,755,111,25,32,24.02,82,0,0.238,4,0.095,21.68,14,4,0.333,0.095,133.64,0.18,0.033,0.147,0.589,0.339,364,502,143,278,379,98,0.361,0.498,0.142,130.94,132.45,145.92,death,32.62,12.56,17.98,1.0,Mumbai,2022,3.380952380952381,3.0,2,7,2,opener,aggressive_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,100.0
AR Bawne,223,14,176,18,9,10,15.93,49,0,0.286,1,0.071,15.18,3,0,0.214,0.0,126.7,0.153,0.051,0.102,0.565,0.369,16,81,126,18,84,74,0.072,0.363,0.565,88.89,96.43,170.27,death,17.17,15.0,12.57,1.0,Maharashtra,2018,5.142857142857143,5.0,3,7,4,top_order,finisher,True,1,batting_tailender_cluster_1,tailender,0.0
AR Easwaran,569,20,439,48,15,14,28.45,107,0,0.3,3,0.15,26.88,9,4,0.45,0.2,129.61,0.144,0.034,0.109,0.496,0.305,163,333,73,140,253,46,0.286,0.585,0.128,116.43,131.62,158.7,death,37.54,11.57,21.95,1.0,Bengal,2023,2.95,3.0,1,4,3,top_order,top_order_anchor,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
AR Kumar,115,8,119,12,2,7,14.38,32,3,0.125,0,0.0,9.62,1,0,0.125,0.0,96.64,0.118,0.017,0.101,0.522,0.454,21,73,21,27,77,15,0.183,0.635,0.183,77.78,94.81,140.0,death,15.75,13.0,14.88,0.996,Himachal,2020,4.0,4.0,3,5,4,top_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
