player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,team,typical_position,avg_position,position_role,batting_role
Praveen Deshetti,48,3,48,9,0,3,16.0,25,0,0.0,1,0.333,13.89,0,0,0.0,0.0,100.0,0.188,0.0,0.188,0.75,0.583,0.979,0.021,0.0,104.44,33.33,,pp,23.0,12.5,Railways,2,2.0,opener,anchor_opener
Prayas Singh,47,7,52,3,1,5,6.71,20,1,0.286,0,0.0,6.85,0,0,0.0,0.0,90.38,0.077,0.019,0.058,0.383,0.404,0.0,0.404,0.596,,82.61,96.55,death,2.33,10.0,Odisha,6,6.857142857142857,middle_order,middle_order
Pritam Das,19,9,23,2,0,6,2.11,7,0,0.333,3,0.333,2.67,0,0,0.0,0.0,82.61,0.087,0.0,0.087,0.421,0.522,0.0,0.053,0.947,,20.0,100.0,death,,2.11,Assam,10,9.222222222222221,tailender,tailender
Pritam Nirala,8,4,22,1,0,4,2.0,4,0,0.0,1,0.25,1.83,0,0,0.0,0.0,36.36,0.045,0.0,0.045,0.5,0.818,0.0,0.125,0.875,,11.11,53.85,death,,2.0,Sikkim,11,10.0,tailender,tailender
Priyank Panchal,968,36,751,101,27,34,26.89,79,0,0.056,5,0.139,24.38,14,6,0.389,0.167,128.89,0.17,0.036,0.134,0.585,0.358,0.56,0.375,0.065,130.29,120.2,190.91,death,35.23,13.79,Gujarat,2,1.7222222222222223,opener,aggressive_opener
Priyansh Arya,266,8,176,28,14,8,33.25,81,7,0.0,0,0.0,24.37,3,2,0.375,0.25,151.14,0.239,0.08,0.159,0.737,0.415,0.752,0.248,0.0,152.67,146.67,,pp,37.33,21.0,Delhi,1,1.0,opener,aggressive_opener
Priyesh Patel,59,4,47,6,3,4,14.75,24,6,0.0,0,0.0,7.63,0,0,0.0,0.0,125.53,0.191,0.064,0.128,0.712,0.447,0.475,0.525,0.0,107.69,147.62,,mid,18.0,11.5,Gujarat,3,2.25,top_order,middle_order
Puneet Datey,21,5,14,1,2,4,4.2,8,0,0.2,1,0.2,3.56,0,0,0.0,0.0,150.0,0.214,0.143,0.071,0.762,0.429,0.0,0.381,0.619,,160.0,144.44,mid,,4.2,Madhya Pradesh,9,8.6,tailender,lower_order_hitter
Punit Bisht,487,20,305,52,23,17,24.35,146,0,0.15,1,0.05,33.4,5,2,0.25,0.1,159.67,0.246,0.075,0.17,0.71,0.357,0.294,0.427,0.279,131.19,145.45,256.6,death,42.71,14.46,Meghalaya,3,2.9,top_order,top_order_aggressor
Qamran Iqbal,201,8,187,17,9,8,25.12,40,0,0.0,1,0.125,13.86,3,0,0.375,0.0,107.49,0.139,0.048,0.091,0.607,0.481,0.642,0.358,0.0,108.4,105.88,,pp,34.0,22.17,Jammu & Kashmir,2,1.625,opener,anchor_opener
R Ashwin,54,6,47,8,0,5,9.0,16,1,0.167,0,0.0,7.04,0,0,0.0,0.0,114.89,0.17,0.0,0.17,0.593,0.383,0.0,0.463,0.537,,104.17,126.09,death,2.67,15.33,Tamil Nadu,7,6.666666666666667,lower_order,tailender
R Bhatia,200,10,205,16,4,9,20.0,42,2,0.1,0,0.0,12.96,3,0,0.3,0.0,97.56,0.098,0.02,0.078,0.44,0.395,0.345,0.48,0.175,93.24,94.12,120.69,death,17.2,22.8,Uttarakhand,1,2.7,opener,anchor_opener
R Bishnoi,326,22,270,21,20,18,14.82,76,0,0.182,2,0.091,19.02,3,2,0.136,0.091,120.74,0.152,0.074,0.078,0.626,0.433,0.258,0.5,0.242,133.33,105.84,149.06,death,17.86,9.5,Rajasthan,6,4.681818181818182,middle_order,middle_order
R Dhawan,413,25,315,39,13,15,16.52,61,0,0.4,2,0.08,16.48,4,1,0.16,0.04,131.11,0.165,0.041,0.124,0.567,0.33,0.017,0.421,0.562,77.78,107.41,161.11,death,19.08,13.75,Himachal,5,5.56,middle_order,finisher
R Parag,874,26,611,56,51,20,33.62,77,1,0.231,0,0.0,24.57,13,10,0.5,0.385,143.04,0.175,0.083,0.092,0.606,0.322,0.118,0.648,0.235,111.96,141.85,170.83,death,46.73,24.0,Assam,4,4.0,top_order,top_order_anchor
R Sai Kishore,26,8,30,1,1,6,3.25,7,0,0.25,1,0.125,2.66,0,0,0.0,0.0,86.67,0.067,0.033,0.033,0.385,0.4,0.269,0.231,0.5,116.67,60.0,92.86,pp,4.0,3.0,Tamil Nadu,9,7.25,tailender,tailender
R Sanjay Yadav,483,23,392,26,26,19,21.0,55,0,0.174,3,0.13,17.04,7,2,0.304,0.087,123.21,0.133,0.066,0.066,0.538,0.352,0.035,0.598,0.366,80.95,117.96,140.48,death,25.0,17.33,Meghalaya,5,5.043478260869565,middle_order,middle_order
R Shukla,18,5,18,2,1,2,3.6,11,0,0.6,2,0.4,4.83,0,0,0.0,0.0,100.0,0.167,0.056,0.111,0.778,0.611,0.0,0.0,1.0,,,100.0,death,,3.6,Jharkhand,11,9.8,tailender,tailender
R Tewatia,593,29,371,61,23,16,20.45,59,0,0.448,1,0.034,15.85,9,1,0.31,0.034,159.84,0.226,0.062,0.164,0.644,0.27,0.002,0.315,0.683,100.0,128.97,180.0,death,20.62,20.23,Haryana,6,5.733333333333333,middle_order,finisher
R Vinay Kumar,261,18,207,17,13,11,14.5,38,2,0.389,0,0.0,10.81,2,0,0.111,0.0,126.09,0.145,0.063,0.082,0.559,0.367,0.019,0.303,0.678,125.0,100.0,142.74,death,13.22,15.78,Karnataka,7,7.166666666666667,lower_order,tailender
RA Tripathi,721,29,570,73,22,25,24.86,70,0,0.138,3,0.103,21.65,9,6,0.31,0.207,126.49,0.167,0.039,0.128,0.588,0.368,0.531,0.322,0.147,125.16,108.92,207.84,death,32.21,18.0,Maharashtra,2,3.1379310344827585,opener,aggressive_opener
RB Bishnoi Jr,23,5,44,1,0,4,4.6,19,0,0.2,2,0.4,8.14,0,0,0.0,0.0,52.27,0.023,0.0,0.023,0.174,0.614,0.0,0.261,0.739,,28.57,73.91,death,,4.6,Arunachal Pradesh,7,7.2,lower_order,tailender
RD Banik,45,5,68,3,0,5,9.0,12,7,0.0,0,0.0,2.35,0,0,0.0,0.0,66.18,0.044,0.0,0.044,0.267,0.559,0.644,0.356,0.0,65.91,66.67,,mid,7.0,10.33,Tripura,3,2.6,top_order,middle_order
RD Chahar,32,9,41,1,1,5,3.56,8,1,0.444,0,0.0,2.51,0,0,0.0,0.0,78.05,0.049,0.024,0.024,0.312,0.488,0.0,0.188,0.812,,46.15,92.86,death,2.67,4.0,Rajasthan,9,8.545454545454545,tailender,tailender
RD Gaikwad,1132,34,816,113,39,31,33.29,82,1,0.088,0,0.0,24.95,16,9,0.471,0.265,138.73,0.186,0.048,0.138,0.606,0.326,0.531,0.428,0.041,130.65,149.23,148.39,mid,38.0,26.57,Maharashtra,1,1.1764705882352942,opener,aggressive_opener
RG Hazarika,72,3,62,11,0,3,24.0,39,7,0.0,0,0.0,16.09,1,0,0.333,0.0,116.13,0.177,0.0,0.177,0.611,0.419,0.806,0.194,0.0,126.09,87.5,,pp,23.0,26.0,Assam,2,2.0,opener,aggressive_opener
RG More,14,3,16,0,1,1,4.67,9,2,0.667,0,0.0,3.79,0,0,0.0,0.0,87.5,0.062,0.062,0.0,0.429,0.5,0.0,0.0,1.0,,,87.5,death,2.0,6.0,Karnataka,10,10.333333333333334,tailender,tailender
RH Bhatt,116,10,106,10,3,8,11.6,40,0,0.2,1,0.1,12.55,1,0,0.1,0.0,109.43,0.123,0.028,0.094,0.5,0.415,0.164,0.56,0.276,65.52,112.07,168.42,death,9.6,13.6,Gujarat,4,4.0,top_order,finisher
RH Motwani,70,4,57,4,4,4,17.5,36,10,0.0,0,0.0,12.48,1,0,0.25,0.0,122.81,0.14,0.07,0.07,0.571,0.404,0.3,0.7,0.0,91.3,148.48,0.0,mid,18.67,14.0,Maharashtra,3,2.75,top_order,middle_order
RI Thakur,85,5,78,9,3,5,17.0,53,1,0.0,0,0.0,21.32,1,1,0.2,0.2,108.97,0.154,0.038,0.115,0.635,0.487,0.459,0.541,0.0,90.7,131.43,,mid,22.67,8.5,Himachal,1,2.0,opener,anchor_opener
RK Bhui,926,28,600,52,62,21,33.07,108,0,0.25,3,0.107,30.55,14,6,0.5,0.214,154.33,0.19,0.103,0.087,0.626,0.292,0.084,0.508,0.408,88.64,133.14,237.74,death,43.54,24.0,Andhra,3,3.8214285714285716,top_order,top_order_anchor
