player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_runs_conceded,mid_runs_conceded,death_runs_conceded,pp_balls_bowled,mid_balls_bowled,death_balls_bowled,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,balls_bowled_per_match,sample_reliability_score,team,season_start_year,eligible_for_model
Pulkit Narang,6,6,124,182,4,0,8.81,30.33,20.67,1.0,0.89,2,0.333,0.315,0.667,0.0,0,133,49,0,102,22,,7.82,13.36,0.0,0.823,0.177,middle,middle_overs_bowler,1.33,0.67,20.67,0.875,Services,2020,True
Puneet Datey,14,15,312,379,9,1,7.29,27.07,22.29,0.933,1.16,3,0.2,0.426,0.6,0.067,159,50,170,156,48,108,6.12,6.25,9.44,0.5,0.154,0.346,powerplay,death_bowler,1.0,0.83,20.8,1.0,Madhya Pradesh,2022,True
Punit Bisht,0,1,6,11,0,0,11.0,,,0.0,0.0,0,0.0,0.5,0.0,0.0,0,11,0,0,6,0,,11.0,,0.0,1.0,0.0,middle,part_time_bowler,0.0,,6.0,0.088,Meghalaya,2020,False
R Ashwin,9,7,168,205,4,0,7.32,22.78,18.67,1.286,1.11,3,0.429,0.399,0.571,0.0,31,75,99,30,84,54,6.2,5.36,11.0,0.179,0.5,0.321,middle,death_bowler,1.75,0.67,24.0,0.938,Tamil Nadu,2019,True
R Bhatia,9,9,204,222,4,0,6.53,24.67,22.67,1.0,1.0,2,0.222,0.299,0.444,0.0,0,183,39,0,174,30,,6.31,7.8,0.0,0.853,0.147,middle,middle_overs_bowler,1.4,0.5,22.67,1.0,Uttarakhand,2018,True
R Dhawan,34,29,555,707,21,1,7.64,20.79,16.32,1.172,1.26,11,0.379,0.404,0.724,0.034,294,136,277,270,108,177,6.53,7.56,9.39,0.486,0.195,0.319,powerplay,death_bowler,1.71,0.42,19.14,1.0,Himachal,2022,True
R Parag,23,28,544,605,6,0,6.67,26.3,23.65,0.821,0.9,7,0.25,0.375,0.214,0.0,102,441,62,84,388,72,7.29,6.82,5.17,0.154,0.713,0.132,death,middle_overs_bowler,0.92,0.73,19.43,1.0,Assam,2023,True
R Pratap Singh,1,1,18,24,0,0,8.0,24.0,18.0,1.0,0.0,0,0.0,0.333,0.0,0.0,9,0,15,6,0,12,9.0,,7.5,0.333,0.0,0.667,death,part_time_bowler,1.0,,18.0,0.138,Bihar,2022,False
R Ralte,1,1,12,31,1,0,15.5,31.0,12.0,1.0,0.0,0,0.0,0.167,1.0,0.0,11,20,0,6,6,0,11.0,20.0,,0.5,0.5,0.0,powerplay,part_time_bowler,,1.0,12.0,0.112,Mizoram,2023,False
R Rohit,1,3,49,80,1,0,9.8,80.0,49.0,0.333,0.58,0,0.0,0.347,0.333,0.0,23,24,33,18,24,7,7.67,6.0,28.29,0.367,0.49,0.143,middle,part_time_bowler,0.0,0.5,16.33,0.392,Tamil Nadu,2018,True
