player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role
Sumit Kumar,Delhi Capitals,2024.0,28.35,40.44,34.39,False,False,pure_batter,18.0,3.0,24.0,6.0,75.0,tailender,0.0,2.0,20.0,0.0,11.4,part_time_bowler
Sunny Gupta,Delhi Daredevils,2012.0,0.0,33.73,16.86,False,False,unknown,0.0,1.0,1.0,0.0,0.0,tailender,0.0,1.0,18.0,0.0,15.67,part_time_bowler
Sunny Singh,Kings XI Punjab,2011.0,51.56,0.0,25.78,False,False,pure_batter,43.0,5.0,31.0,8.6,138.71,middle_order,,,,,,
Suryansh Shedge,Punjab Kings,2025.0,23.09,36.07,29.58,False,False,pure_batter,7.0,3.0,11.0,2.33,63.64,tailender,0.0,1.0,18.0,0.0,13.33,part_time_bowler
Suyash Sharma,Royal Challengers Bengaluru,2026.0,0.0,69.22,34.61,False,False,pure_bowler,,,,,,,22.0,31.0,648.0,0.71,8.94,middle_overs_bowler
Swapnil Singh,Royal Challengers Bengaluru,2024.0,41.65,59.95,50.8,False,False,pure_bowler,51.0,9.0,45.0,5.67,113.33,tailender,7.0,14.0,162.0,0.5,8.93,middle_overs_bowler
T Banton,Kolkata Knight Riders,2020.0,34.65,0.0,17.32,False,False,pure_batter,18.0,2.0,20.0,9.0,90.0,anchor_opener,,,,,,
T Henderson,Rajasthan Royals,2009.0,25.99,64.49,45.24,False,False,pure_bowler,11.0,2.0,16.0,5.5,68.75,middle_order,1.0,2.0,36.0,0.5,6.83,part_time_bowler
T Kohler-Cadmore,Rajasthan Royals,2024.0,36.71,0.0,18.36,False,False,pure_batter,48.0,3.0,54.0,16.0,88.89,anchor_opener,,,,,,
T Kohli,Rajasthan Royals,2009.0,21.55,0.0,10.78,False,False,pure_batter,11.0,3.0,19.0,3.67,57.89,anchor_opener,,,,,,
T Natarajan,Sunrisers Hyderabad,2026.0,20.46,82.12,51.29,False,False,pure_bowler,4.0,3.0,7.0,1.33,57.14,tailender,73.0,67.0,1452.0,1.09,9.07,death_bowler
T Shamsi,Rajasthan Royals,2021.0,18.2,63.13,40.66,False,False,pure_bowler,2.0,1.0,4.0,2.0,50.0,tailender,3.0,5.0,120.0,0.6,9.25,middle_overs_bowler
T Stubbs,Delhi Capitals,2026.0,76.75,71.72,74.24,False,False,utility_player,820.0,34.0,513.0,24.12,159.84,finisher,4.0,5.0,36.0,0.8,11.5,part_time_bowler
T Taibu,Kolkata Knight Riders,2007.0,45.35,0.0,22.68,False,False,pure_batter,31.0,3.0,26.0,10.33,119.23,middle_order,,,,,,
T Thushara,Chennai Super Kings,2009.0,24.38,94.29,59.34,False,False,pure_bowler,12.0,4.0,18.0,3.0,66.67,tailender,8.0,6.0,135.0,1.333,7.29,death_bowler
