player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_runs_conceded,mid_runs_conceded,death_runs_conceded,pp_balls_bowled,mid_balls_bowled,death_balls_bowled,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,balls_bowled_per_match,sample_reliability_score,team,season_start_year,eligible_for_model
Avesh Khan,93,79,1703,2625,63,4,9.25,28.23,18.31,1.177,1.06,27,0.342,0.351,0.797,0.051,935,660,1030,593,480,630,9.46,8.25,9.81,0.348,0.282,0.37,middle,death_bowler,1.3,1.03,21.56,1.0,Lucknow Super Giants,2026,True
Azhar Mahmood,29,23,537,707,10,5,7.9,24.38,18.52,1.261,1.21,12,0.522,0.371,0.435,0.217,163,205,339,144,186,207,6.79,6.61,9.83,0.268,0.346,0.385,middle,death_bowler,1.75,0.73,23.35,1.0,Kings XI Punjab,2015,True
Azmatullah Omarzai,12,15,288,476,12,0,9.92,39.67,24.0,0.8,0.86,4,0.267,0.33,0.8,0.0,266,114,96,162,78,48,9.85,8.77,12.0,0.562,0.271,0.167,middle,powerplay_bowler,1.25,0.29,19.2,1.0,Punjab Kings,2025,True
B Akhil,6,13,188,246,4,1,7.85,41.0,31.33,0.462,0.78,2,0.154,0.319,0.308,0.077,12,141,93,6,132,50,12.0,6.41,11.16,0.032,0.702,0.266,middle,middle_overs_bowler,0.62,0.2,14.46,1.0,Royal Challengers Bangalore,2011,True
B Chipli,0,1,6,20,0,0,20.0,,,0.0,0.0,0,0.0,0.167,0.0,0.0,0,20,0,0,6,0,,20.0,,0.0,1.0,0.0,middle,part_time_bowler,,0.0,6.0,0.088,Deccan Chargers,2011,False
B Geeves,1,2,48,91,1,0,11.38,91.0,48.0,0.5,0.71,0,0.0,0.312,0.5,0.0,50,31,10,24,18,6,12.5,10.33,10.0,0.5,0.375,0.125,death,part_time_bowler,0.5,,24.0,0.325,Delhi Daredevils,2007,False
B Kumar,205,195,4342,5718,150,13,7.9,27.89,21.18,1.051,1.04,55,0.282,0.412,0.769,0.067,2703,614,2401,2393,434,1515,6.78,8.49,9.51,0.551,0.1,0.349,powerplay,death_bowler,1.33,0.82,22.27,1.0,Sunrisers Hyderabad,2026,True
B Laughlin,10,9,168,284,10,1,10.14,28.4,16.8,1.111,0.93,4,0.444,0.25,1.111,0.111,61,83,140,36,61,71,10.17,8.16,11.83,0.214,0.363,0.423,middle,death_bowler,1.67,0.83,18.67,1.0,Rajasthan Royals,2018,True
B Lee,25,38,875,1126,28,13,7.72,45.04,35.0,0.658,0.75,4,0.105,0.427,0.737,0.342,580,81,465,486,78,311,7.16,6.23,8.97,0.555,0.089,0.355,middle,death_bowler,0.71,0.59,23.03,1.0,Kolkata Knight Riders,2013,True
B Muzarabani,4,2,42,79,2,0,11.29,19.75,10.5,2.0,2.83,1,0.5,0.286,1.0,0.0,40,14,25,18,12,12,13.33,7.0,12.5,0.429,0.286,0.286,middle,part_time_bowler,,2.0,21.0,0.3,Kolkata Knight Riders,2026,False
B Stanlake,7,6,144,200,6,0,8.33,28.57,20.57,1.167,0.98,3,0.5,0.444,1.0,0.0,111,78,11,84,54,6,7.93,8.67,11.0,0.583,0.375,0.042,powerplay,powerplay_bowler,1.75,0.0,24.0,0.875,Sunrisers Hyderabad,2018,True
BA Bhatt,12,15,296,408,6,1,8.27,34.0,24.67,0.8,1.21,4,0.267,0.314,0.4,0.067,116,194,98,96,137,63,7.25,8.5,9.33,0.324,0.463,0.213,powerplay,powerplay_bowler,1.12,0.43,19.73,1.0,Kings XI Punjab,2013,True
BA Stokes,28,38,689,1023,30,4,8.91,36.54,24.61,0.737,1.0,9,0.237,0.331,0.789,0.105,290,388,345,186,299,204,9.35,7.79,10.15,0.27,0.434,0.296,middle,middle_overs_bowler,0.89,0.6,18.13,1.0,Rajasthan Royals,2023,True
BAW Mendis,8,10,244,306,3,1,7.52,38.25,30.5,0.8,0.79,2,0.2,0.311,0.3,0.1,67,161,78,58,132,54,6.93,7.32,8.67,0.238,0.541,0.221,powerplay,middle_overs_bowler,1.0,0.71,24.4,1.0,Kolkata Knight Riders,2013,True
BB Sran,18,24,483,767,30,3,9.53,42.61,26.83,0.75,0.85,4,0.167,0.348,1.25,0.125,357,269,141,228,168,87,9.39,9.61,9.72,0.472,0.348,0.18,powerplay,powerplay_bowler,0.88,0.5,20.12,1.0,Sunrisers Hyderabad,2019,True
BCJ Cutting,10,17,281,430,7,0,9.18,43.0,28.1,0.588,0.71,2,0.118,0.274,0.412,0.0,68,215,147,42,163,76,9.71,7.91,11.61,0.149,0.58,0.27,middle,middle_overs_bowler,0.67,0.4,16.53,1.0,Mumbai Indians,2019,True
BE Hendricks,9,7,150,239,6,1,9.56,26.56,16.67,1.286,0.95,2,0.286,0.347,0.857,0.143,108,51,80,60,36,54,10.8,8.5,8.89,0.4,0.24,0.36,middle,death_bowler,1.33,1.25,21.43,0.938,Kings XI Punjab,2015,True
BJ Hodge,17,20,234,310,4,0,7.95,18.24,13.76,0.85,1.09,3,0.15,0.321,0.2,0.0,56,231,23,36,180,18,9.33,7.7,7.67,0.154,0.769,0.077,death,middle_overs_bowler,0.86,0.85,11.7,1.0,Kolkata Knight Riders,2013,True
BJ Rohrer,0,1,6,12,1,0,12.0,,,0.0,0.0,0,0.0,0.167,1.0,0.0,0,12,0,0,6,0,,12.0,,0.0,1.0,0.0,middle,part_time_bowler,,0.0,6.0,0.088,Delhi Daredevils,2013,False
BMAJ Mendis,1,2,30,36,0,0,7.2,36.0,30.0,0.5,0.71,0,0.0,0.367,0.0,0.0,0,36,0,0,30,0,,7.2,,0.0,1.0,0.0,middle,part_time_bowler,,0.5,15.0,0.25,Delhi Daredevils,2013,False
BW Hilfenhaus,22,17,372,497,15,3,8.02,22.59,16.91,1.294,0.77,6,0.353,0.465,0.882,0.176,260,54,183,240,36,96,6.5,9.0,11.44,0.645,0.097,0.258,powerplay,powerplay_bowler,1.33,1.2,21.88,1.0,Chennai Super Kings,2014,True
Basil Thampi,22,25,521,862,17,1,9.93,39.18,23.68,0.88,0.97,6,0.24,0.292,0.68,0.04,257,269,336,162,186,173,9.52,8.68,11.65,0.311,0.357,0.332,middle,death_bowler,1.14,0.78,20.84,1.0,Gujarat Lions,2022,True
Bipul Sharma,17,28,426,581,10,0,8.18,34.18,25.06,0.607,0.63,2,0.071,0.308,0.357,0.0,77,418,86,74,318,34,6.24,7.89,15.18,0.174,0.746,0.08,powerplay,middle_overs_bowler,0.69,0.53,15.21,1.0,Sunrisers Hyderabad,2017,True
Brijesh Sharma,3,2,42,55,2,0,7.86,18.33,14.0,1.5,0.71,1,0.5,0.31,1.0,0.0,6,40,9,6,30,6,6.0,8.0,9.0,0.143,0.714,0.143,powerplay,part_time_bowler,1.5,,21.0,0.3,Rajasthan Royals,2026,False
