player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model
AD Nath,90,10,98,7,2,10,9.0,24,0,0.0,1,0.1,7.94,0,0,0.0,0.0,91.84,0.092,0.02,0.071,0.444,0.449,11,57,22,11,62,25,0.122,0.633,0.244,100.0,91.94,88.0,powerplay,13.0,6.33,9.8,0.908,Royal Challengers Bangalore,2019,5.6,6.0,3,7,6,middle_order,middle_order,True
AD Russell,2655,114,1525,187,223,95,23.29,88,0,0.167,6,0.053,20.69,39,12,0.342,0.105,174.1,0.269,0.146,0.123,0.786,0.397,41,1182,1432,17,777,731,0.015,0.445,0.539,241.18,152.12,195.9,powerplay,25.7,21.66,13.38,1.0,Kolkata Knight Riders,2025,5.827586206896552,6.0,1,8,6,middle_order,finisher,True
AF Milne,23,6,29,0,1,4,3.83,15,0,0.333,1,0.167,5.78,0,0,0.0,0.0,79.31,0.034,0.034,0.0,0.261,0.448,0,6,17,0,9,20,0.0,0.261,0.739,,66.67,85.0,death,,3.83,4.83,0.496,Mumbai Indians,2021,8.0,8.0,8,8,8,lower_order,tailender,True
AG Murtaza,10,3,14,1,0,1,3.33,5,2,0.667,0,0.0,1.53,0,0,0.0,0.0,71.43,0.071,0.0,0.071,0.4,0.5,0,0,10,0,0,14,0.0,0.0,1.0,,,71.43,death,,3.33,4.67,0.246,Pune Warriors,2013,9.666666666666666,10.0,9,10,10,tailender,tailender,False
AG Paunikar,49,5,58,9,0,5,9.8,20,0,0.0,1,0.2,7.92,0,0,0.0,0.0,84.48,0.155,0.0,0.155,0.735,0.655,49,0,0,58,0,0,1.0,0.0,0.0,84.48,,,powerplay,12.5,8.0,11.6,0.554,Rajasthan Royals,2011,1.6,1.0,1,3,1,opener,anchor_opener,True
AJ Finch,2092,90,1635,214,78,84,23.24,88,0,0.067,7,0.078,21.96,27,15,0.3,0.167,127.95,0.179,0.048,0.131,0.633,0.421,911,899,282,797,659,179,0.435,0.43,0.135,114.3,136.42,157.54,death,27.76,20.5,18.17,1.0,Gujarat Lions,2022,2.5934065934065935,2.0,1,7,2,opener,anchor_opener,True
AJ Hosein,16,1,10,1,1,0,16.0,16,16,1.0,0,0.0,0.0,0,0,0.0,0.0,160.0,0.2,0.1,0.1,0.625,0.3,0,0,16,0,0,10,0.0,0.0,1.0,,,160.0,death,16.0,,10.0,0.104,Sunrisers Hyderabad,2023,8.0,8.0,8,8,8,lower_order,tailender,False
AJ Turner,24,6,28,0,2,5,4.0,16,0,0.167,3,0.5,6.23,0,0,0.0,0.0,85.71,0.071,0.071,0.0,0.5,0.5,0,17,7,0,10,18,0.0,0.708,0.292,,170.0,38.89,middle,2.67,5.33,4.67,0.492,Rajasthan Royals,2024,5.666666666666667,5.5,5,7,5,middle_order,middle_order,True
AJ Tye,91,13,76,6,5,9,7.0,25,0,0.308,2,0.154,8.29,0,0,0.0,0.0,119.74,0.145,0.066,0.079,0.593,0.474,0,21,70,0,16,60,0.0,0.231,0.769,,131.25,116.67,middle,3.0,7.73,5.85,0.817,Kings XI Punjab,2020,8.307692307692308,8.0,7,9,8,lower_order,tailender,True
AK Markram,1560,60,1145,125,63,51,26.0,68,0,0.15,2,0.033,18.83,23,10,0.383,0.167,136.24,0.164,0.055,0.109,0.563,0.309,470,848,242,355,654,136,0.301,0.544,0.155,132.39,129.66,177.94,death,29.44,23.54,19.08,1.0,Sunrisers Hyderabad,2026,3.25,4.0,1,5,4,top_order,top_order_anchor,True
