player,match_file,date,season,venue,team,opponent,winner,runs,balls_faced,fours,sixes,dismissed,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,season_start_year
Zafar Ali,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Madhya Pradesh,Delhi,Delhi,2,7,0,0,1,2,7,0,0,0,0,6,2015
IC Pandey,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Madhya Pradesh,Delhi,Delhi,2,2,0,0,1,2,2,0,0,0,0,1,2015
NV Ojha,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Madhya Pradesh,Delhi,Delhi,48,42,4,2,1,9,14,32,20,7,8,18,2015
Jalaj S Saxena,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Madhya Pradesh,Delhi,Delhi,17,23,2,0,1,11,13,6,10,0,0,12,2015
Harpreet Singh,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Madhya Pradesh,Delhi,Delhi,35,27,3,2,1,0,0,32,24,3,3,12,2015
Parth Sahani,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Madhya Pradesh,Delhi,Delhi,36,14,5,2,0,0,0,0,0,36,14,4,2015
Sohraab Dhaliwal,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Madhya Pradesh,Delhi,Delhi,13,5,1,1,1,0,0,0,0,13,5,1,2015
UBT Chand,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Delhi,Madhya Pradesh,Delhi,2,7,0,0,1,2,7,0,0,0,0,5,2015
G Gambhir,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Delhi,Madhya Pradesh,Delhi,38,38,3,0,1,18,18,20,20,0,0,11,2015
Suboth Bhati,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Delhi,Madhya Pradesh,Delhi,16,14,2,1,1,16,11,0,3,0,0,9,2015
Aditya Kaushik,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Delhi,Madhya Pradesh,Delhi,5,4,1,0,1,0,0,5,4,0,0,2,2015
N Rana,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Delhi,Madhya Pradesh,Delhi,28,15,2,2,1,0,0,28,15,0,0,4,2015
Milind Kumar,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Delhi,Madhya Pradesh,Delhi,36,26,4,0,0,0,0,13,12,23,14,7,2015
P Negi,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Delhi,Madhya Pradesh,Delhi,17,11,1,1,1,0,0,0,0,17,11,2,2015
PJ Sangwan,902149.json,2016-01-04,2015/16,Reliance Cricket Stadium,Delhi,Madhya Pradesh,Delhi,8,4,2,0,0,0,0,0,0,8,4,2,2015
GH Vihari,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Andhra,Jammu & Kashmir,Jammu & Kashmir,28,20,6,0,1,28,20,0,0,0,0,10,2018
Ashwin Hebbar,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Andhra,Jammu & Kashmir,Jammu & Kashmir,0,3,0,0,1,0,3,0,0,0,0,3,2018
RK Bhui,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Andhra,Jammu & Kashmir,Jammu & Kashmir,10,6,2,0,1,10,6,0,0,0,0,2,2018
KS Bharat,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Andhra,Jammu & Kashmir,Jammu & Kashmir,41,38,3,1,1,2,7,31,27,8,4,13,2018
Prashanth Kumar,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Andhra,Jammu & Kashmir,Jammu & Kashmir,2,5,0,0,1,0,0,2,5,0,0,3,2018
DB Ravi Teja,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Andhra,Jammu & Kashmir,Jammu & Kashmir,20,26,1,0,1,0,0,16,22,4,4,10,2018
KV Sharma,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Andhra,Jammu & Kashmir,Jammu & Kashmir,22,14,2,1,0,0,0,0,0,22,14,4,2018
Girinath Reddy,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Andhra,Jammu & Kashmir,Jammu & Kashmir,15,8,1,1,1,0,0,0,0,15,8,2,2018
Abdul Samad,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Jammu & Kashmir,Andhra,Jammu & Kashmir,30,25,3,1,1,19,17,11,8,0,0,10,2018
Jatin Wadhwan,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Jammu & Kashmir,Andhra,Jammu & Kashmir,14,13,3,0,1,14,13,0,0,0,0,8,2018
Adil Reshi,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Jammu & Kashmir,Andhra,Jammu & Kashmir,8,7,0,1,1,8,6,0,1,0,0,4,2018
Shubham Pundir,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Jammu & Kashmir,Andhra,Jammu & Kashmir,51,36,6,1,1,0,0,37,28,14,8,8,2018
Parvez Rasool,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Jammu & Kashmir,Andhra,Jammu & Kashmir,31,22,1,2,1,0,0,23,17,8,5,5,2018
IK Pathan,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Jammu & Kashmir,Andhra,Jammu & Kashmir,2,3,0,0,0,0,0,0,0,2,3,1,2018
Manzoor Dar,1157143.json,2019-02-25,2018/19,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Jammu & Kashmir,Andhra,Jammu & Kashmir,10,5,1,0,0,0,0,0,0,10,5,0,2018
M Vijay,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Tamil Nadu,Rajasthan,Tamil Nadu,35,29,6,0,1,32,21,3,8,0,0,14,2019
N Jagadeesan,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Tamil Nadu,Rajasthan,Tamil Nadu,34,37,2,1,1,7,15,27,22,0,0,16,2019
KD Karthik,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Tamil Nadu,Rajasthan,Tamil Nadu,48,30,5,2,1,0,0,39,24,9,6,10,2019
V Shankar,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Tamil Nadu,Rajasthan,Tamil Nadu,15,11,0,1,1,0,0,0,0,15,11,2,2019
M Shahrukh Khan,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Tamil Nadu,Rajasthan,Tamil Nadu,16,13,0,1,0,0,0,0,0,16,13,3,2019
M Mohammed,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Tamil Nadu,Rajasthan,Tamil Nadu,0,0,0,0,1,0,0,0,0,0,0,0,2019
MN Singh,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,0,2,0,0,1,0,2,0,0,0,0,2,2019
Ankit Lamba,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,5,7,1,0,1,5,7,0,0,0,0,5,2019
Aditya Garhwal,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,9,14,1,0,1,9,14,0,0,0,0,9,2019
MK Lomror,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,32,36,1,1,1,9,10,19,21,4,5,14,2019
Arjit Gupta,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,13,10,2,0,1,9,3,4,7,0,0,4,2019
R Bishnoi,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,10,12,0,1,1,0,0,10,12,0,0,7,2019
CP Singh,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,9,16,0,0,1,0,0,8,14,1,2,8,2019
AR Lamba,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,3,5,0,0,1,0,0,0,0,3,5,2,2019
Tanveer Ul-Haq,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,11,9,0,1,0,0,0,0,0,11,9,4,2019
A Choudhary,1205735.json,2019-11-09,2019/20,St'Xavier's KCA Cricket Ground,Rajasthan,Tamil Nadu,Tamil Nadu,9,9,1,0,0,0,0,0,0,9,9,4,2019
Rohan Kadam,1175032.json,2019-03-09,2018/19,Holkar Stadium,Karnataka,Uttar Pradesh,Karnataka,35,30,4,1,1,32,23,3,7,0,0,14,2018
BR Sharath,1175032.json,2019-03-09,2018/19,Holkar Stadium,Karnataka,Uttar Pradesh,Karnataka,0,4,0,0,1,0,4,0,0,0,0,4,2018
MA Agarwal,1175032.json,2019-03-09,2018/19,Holkar Stadium,Karnataka,Uttar Pradesh,Karnataka,33,27,4,0,1,13,9,20,18,0,0,7,2018
KK Nair,1175032.json,2019-03-09,2018/19,Holkar Stadium,Karnataka,Uttar Pradesh,Karnataka,21,18,0,1,1,0,0,21,18,0,0,4,2018
MK Pandey,1175032.json,2019-03-09,2018/19,Holkar Stadium,Karnataka,Uttar Pradesh,Karnataka,22,20,0,1,1,0,0,6,8,16,12,5,2018
MS Bhandage,1175032.json,2019-03-09,2018/19,Holkar Stadium,Karnataka,Uttar Pradesh,Karnataka,25,19,3,0,1,0,0,1,3,24,16,4,2018
J Suchith,1175032.json,2019-03-09,2018/19,Holkar Stadium,Karnataka,Uttar Pradesh,Karnataka,1,2,0,0,0,0,0,0,0,1,2,1,2018
AD Nath,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,46,41,5,0,1,16,16,30,25,0,0,13,2018
Samarth Singh,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,15,15,3,0,1,15,15,0,0,0,0,9,2018
Upendra Yadav,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,42,41,3,0,1,7,5,23,24,12,12,9,2018
RK Singh,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,0,1,0,0,1,0,0,0,1,0,0,1,2018
PK Garg,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,16,11,2,0,1,0,0,4,4,12,7,1,2018
Shubham Chaubey,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,7,3,0,1,1,0,0,0,0,7,3,1,2018
Saurabh Kumar,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,7,3,0,1,1,0,0,0,0,7,3,1,2018
Ankit Chaudhary,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,1,3,0,0,1,0,0,0,0,1,3,2,2018
Mohsin Khan,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,1,1,0,0,0,0,0,0,0,1,1,0,2018
AS Rajpoot,1175032.json,2019-03-09,2018/19,Holkar Stadium,Uttar Pradesh,Karnataka,Karnataka,1,1,0,0,0,0,0,0,0,1,1,0,2018
Pallav Kumar Das,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Assam,Odisha,Odisha,21,24,1,1,1,17,18,4,6,0,0,12,2020
Denish Das,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Assam,Odisha,Odisha,19,15,2,0,1,19,15,0,0,0,0,5,2020
R Parag,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Assam,Odisha,Odisha,42,26,3,2,1,8,4,27,18,7,4,5,2020
Saahil Jain,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Assam,Odisha,Odisha,24,25,4,0,1,0,0,24,25,0,0,14,2020
Rajjakuddin Ahmed,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Assam,Odisha,Odisha,32,19,2,2,1,0,0,10,5,22,14,5,2020
Erik Roy,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Assam,Odisha,Odisha,7,12,0,0,0,0,0,0,0,7,12,6,2020
Gourav Choudhury,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Odisha,Assam,Odisha,13,16,3,0,1,13,16,0,0,0,0,12,2020
Sukesh Heera,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Odisha,Assam,Odisha,0,3,0,0,1,0,3,0,0,0,0,3,2020
Subhransu Senapati,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Odisha,Assam,Odisha,64,48,4,3,1,14,11,40,32,10,5,14,2020
Govinda Poddar,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Odisha,Assam,Odisha,16,15,2,0,1,5,7,11,8,0,0,7,2020
Rajesh Dhuper,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Odisha,Assam,Odisha,12,12,1,0,1,0,0,12,12,0,0,4,2020
Sarbeswar Mohanty,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Odisha,Assam,Odisha,10,11,0,1,1,0,0,2,3,8,8,6,2020
Suryakant Pradhan,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Odisha,Assam,Odisha,13,5,1,1,0,0,0,0,0,13,5,1,2020
Pratik Das,1244385.json,2021-01-18,2020/21,Jadavpur University Campus,Odisha,Assam,Odisha,20,6,3,1,0,0,0,0,0,20,6,0,2020
Samarth Seth,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Arunachal Pradesh,Maharashtra,Maharashtra,11,18,2,0,1,11,18,0,0,0,0,13,2019
Shashwat Kohli,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Arunachal Pradesh,Maharashtra,Maharashtra,22,26,2,0,1,14,15,8,11,0,0,12,2019
Myendung Singpho,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Arunachal Pradesh,Maharashtra,Maharashtra,1,3,0,0,1,1,3,0,0,0,0,2,2019
Rahul Dalal,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Arunachal Pradesh,Maharashtra,Maharashtra,30,29,2,0,1,0,0,27,25,3,4,7,2019
Uvais Ahmad,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Arunachal Pradesh,Maharashtra,Maharashtra,70,38,8,3,1,0,0,15,18,55,20,9,2019
Akhilesh Sahani,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Arunachal Pradesh,Maharashtra,Maharashtra,0,2,0,0,1,0,0,0,0,0,2,2,2019
Song Tacho,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Arunachal Pradesh,Maharashtra,Maharashtra,4,4,0,0,0,0,0,0,0,4,4,0,2019
Yab Niya,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Arunachal Pradesh,Maharashtra,Maharashtra,1,1,0,0,0,0,0,0,0,1,1,0,2019
RD Gaikwad,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Maharashtra,Arunachal Pradesh,Maharashtra,81,41,4,7,1,23,14,58,27,0,0,8,2019
RA Tripathi,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Maharashtra,Arunachal Pradesh,Maharashtra,28,19,3,1,1,28,19,0,0,0,0,7,2019
Naushad Shaikh,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Maharashtra,Arunachal Pradesh,Maharashtra,31,21,4,0,0,2,3,29,18,0,0,3,2019
NS Naik,1205762.json,2019-11-11,2019/20,"GSSS, Sector 26",Maharashtra,Arunachal Pradesh,Maharashtra,14,5,0,2,0,0,0,14,5,0,0,1,2019
NV Ojha,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,4,3,1,0,1,4,3,0,0,0,0,2,2018
RM Patidar,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,0,1,0,0,1,0,1,0,0,0,0,1,2018
Parth Sahani,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,49,44,4,2,1,17,21,32,23,0,0,17,2018
Anshul Tripathi,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,1,2,0,0,1,1,2,0,0,0,0,1,2018
Abhishek Bhandari,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,30,34,3,0,1,3,9,27,25,0,0,14,2018
VR Iyer,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,23,18,4,0,1,0,0,4,5,19,13,7,2018
Sohraab Dhaliwal,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,10,6,0,1,1,0,0,0,1,10,5,2,2018
Salman Baig,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,5,3,1,0,1,0,0,0,0,5,3,1,2018
Mihir Hirwani,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,8,6,0,1,1,0,0,0,0,8,6,3,2018
IC Pandey,1157114.json,2019-02-22,2018/19,Holkar Stadium,Madhya Pradesh,Saurashtra,Saurashtra,1,3,0,0,1,0,0,0,0,1,3,2,2018
H Desai,1157114.json,2019-02-22,2018/19,Holkar Stadium,Saurashtra,Madhya Pradesh,Saurashtra,56,36,9,1,1,27,19,29,17,0,0,14,2018
CA Pujara,1157114.json,2019-02-22,2018/19,Holkar Stadium,Saurashtra,Madhya Pradesh,Saurashtra,68,46,11,0,1,24,17,43,27,1,2,14,2018
RV Uthappa,1157114.json,2019-02-22,2018/19,Holkar Stadium,Saurashtra,Madhya Pradesh,Saurashtra,4,6,0,0,1,0,0,4,6,0,0,3,2018
SP Jackson,1157114.json,2019-02-22,2018/19,Holkar Stadium,Saurashtra,Madhya Pradesh,Saurashtra,4,5,1,0,1,0,0,4,4,0,1,4,2018
Arpit Vasavada,1157114.json,2019-02-22,2018/19,Holkar Stadium,Saurashtra,Madhya Pradesh,Saurashtra,4,6,0,0,0,0,0,0,0,4,6,3,2018
PN Mankad,1157114.json,2019-02-22,2018/19,Holkar Stadium,Saurashtra,Madhya Pradesh,Saurashtra,3,2,0,0,0,0,0,0,0,3,2,0,2018
VA Jagadeesh,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,15,19,1,0,1,15,18,0,1,0,0,8,2015
SV Samson,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,1,6,0,0,1,1,6,0,0,0,0,5,2015
Rohan Prem,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,56,43,5,2,1,18,13,28,24,10,6,13,2015
Sachin Baby,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,43,30,2,3,1,0,0,43,29,0,1,10,2015
P Prasanth,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,1,2,0,0,1,0,0,0,0,1,2,1,2015
RV Gomez,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,25,15,2,2,0,0,0,0,0,25,15,6,2015
Jafar Jamal,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,7,3,0,1,1,0,0,0,0,7,3,1,2015
Unnikrishnan Manukrishnan,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,0,1,0,0,1,0,0,0,0,0,1,1,2015
Nikhilesh Surendran,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,0,0,0,0,1,0,0,0,0,0,0,0,2015
Basil Thampi,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,0,1,0,0,1,0,0,0,0,0,1,1,2015
S Sandeep Warrier,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Kerala,Saurashtra,Kerala,1,1,0,0,0,0,0,0,0,1,1,0,2015
SP Jackson,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,11,9,2,0,1,11,9,0,0,0,0,4,2015
CA Pujara,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,26,24,2,1,1,15,15,11,9,0,0,10,2015
AA Barot,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,4,7,0,0,1,4,7,0,0,0,0,4,2015
Jaydev Shah,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,2,9,0,0,1,1,5,1,4,0,0,7,2015
Chirag Jani,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,12,10,0,1,1,0,0,12,10,0,0,4,2015
Deepak Punia,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,7,11,1,0,1,0,0,7,11,0,0,7,2015
Arpit Vasavada,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,5,9,0,0,1,0,0,5,9,0,0,4,2015
JD Unadkat,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,32,20,3,2,1,0,0,10,11,22,9,8,2015
S Sanandia,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,0,2,0,0,1,0,0,0,0,0,2,2,2015
K Makwana,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,6,14,0,0,0,0,0,0,0,6,14,8,2015
Dharmendrasinh Jadeja,902165.json,2016-01-06,2015/16,St Pauls college ground Kalamassery,Saurashtra,Kerala,Kerala,3,5,0,0,0,0,0,0,0,3,5,2,2015
Samarth Seth,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Arunachal Pradesh,Haryana,Haryana,25,29,4,0,1,21,22,4,7,0,0,16,2018
Techi Doria,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Arunachal Pradesh,Haryana,Haryana,14,23,1,0,1,9,14,5,9,0,0,13,2018
Kshitiz Sharma,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Arunachal Pradesh,Haryana,Haryana,46,32,8,0,0,0,0,20,19,26,13,11,2018
Neelam Obi,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Arunachal Pradesh,Haryana,Haryana,1,9,0,0,1,0,0,1,9,0,0,8,2018
Song Tacho,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Arunachal Pradesh,Haryana,Haryana,0,1,0,0,1,0,0,0,1,0,0,1,2018
Kamsha Yangfo,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Arunachal Pradesh,Haryana,Haryana,15,22,1,0,1,0,0,3,9,12,13,11,2018
RV Uthappa,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Arunachal Pradesh,Haryana,Haryana,0,3,0,0,1,0,0,0,0,0,3,3,2018
Techi Neri,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Arunachal Pradesh,Haryana,Haryana,0,1,0,0,0,0,0,0,0,0,1,1,2018
Himanshu Rana,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Haryana,Arunachal Pradesh,Haryana,1,3,0,0,1,1,3,0,0,0,0,2,2018
Treyaksh Bali,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Haryana,Arunachal Pradesh,Haryana,1,3,0,0,1,1,3,0,0,0,0,2,2018
Chaitanya Bishnoi,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Haryana,Arunachal Pradesh,Haryana,60,43,8,1,0,33,19,27,24,0,0,14,2018
N Saini,1157102.json,2019-02-21,2018/19,DRIEMS Ground,Haryana,Arunachal Pradesh,Haryana,45,42,6,0,0,10,11,31,30,4,1,17,2018
Pallav Kumar Das,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Assam,Meghalaya,Meghalaya,0,1,0,0,1,0,1,0,0,0,0,1,2019
Swarupam Purkayastha,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Assam,Meghalaya,Meghalaya,5,10,1,0,1,5,10,0,0,0,0,8,2019
Sibsankar Roy,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Assam,Meghalaya,Meghalaya,50,47,4,0,1,10,14,31,24,9,9,12,2019
R Parag,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Assam,Meghalaya,Meghalaya,2,10,0,0,1,2,10,0,0,0,0,8,2019
Wasiqur Rahman,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Assam,Meghalaya,Meghalaya,2,10,0,0,1,1,1,1,9,0,0,8,2019
Hrishikesh Tamuli,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Assam,Meghalaya,Meghalaya,5,13,0,0,1,0,0,5,13,0,0,8,2019
Rajjakuddin Ahmed,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Assam,Meghalaya,Meghalaya,5,5,1,0,1,0,0,5,5,0,0,3,2019
AN Ahmed,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Assam,Meghalaya,Meghalaya,26,19,1,1,0,0,0,8,3,18,16,3,2019
Abhilash Gogoi,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Assam,Meghalaya,Meghalaya,8,5,1,0,0,0,0,0,0,8,5,1,2019
RR Biswa,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Meghalaya,Assam,Meghalaya,25,37,4,0,1,18,21,7,16,0,0,25,2019
Punit Bisht,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Meghalaya,Assam,Meghalaya,42,23,6,1,1,29,15,13,8,0,0,6,2019
DB Ravi Teja,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Meghalaya,Assam,Meghalaya,10,12,0,0,1,0,0,10,12,0,0,3,2019
R Sanjay Yadav,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Meghalaya,Assam,Meghalaya,0,2,0,0,1,0,0,0,2,0,0,2,2019
Amiangshu Sen,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Meghalaya,Assam,Meghalaya,14,22,0,0,1,0,0,11,14,3,8,12,2019
Mark Ingty,1205774.json,2019-11-12,2019/20,Wankhede Stadium,Meghalaya,Assam,Meghalaya,7,8,0,0,1,0,0,1,2,6,6,2,2019
